,start_date,end_date,return_strat,max_drawdown,ret_strat_ann,profit_factor,volatility_strat_ann,sharpe_ratio,return_bh,cagr,period,atr_factor,ticker
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-37.11759212117856,-37.22016006046003,-20.848582252613863,0.1582702634135859,4.137779448764798,0.0,3.5352196229595045,-21.58070703402226,20,2,CAD=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-68.5530643261589,-68.86646920851771,-44.18133061634515,0.1794381395705395,4.463031140612773,0.0,-1.1956404008636912,-45.459993198421046,20,2,EURUSD=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-63.183728306463514,-63.61896244515693,-39.565621201664754,0.297159199360783,5.548463835484428,0.0,-4.410137235153996,-40.76325846517605,20,2,AUDUSD=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-28.59305239804872,-28.62369579919466,-15.611125186257569,0.0016528976389764,2.698835346369473,0.0,-0.2844708848873292,-16.17850755664153,20,2,HKD=X
0,2023-01-02 00:00:00+00:00,2024-11-29 20:00:00+00:00,-40.3878966907916,-41.332800787672184,-22.95072430077113,0.3482388232574383,5.649167310066536,0.0,10.604952419086503,-23.745029378369495,20,2,KRW=X
0,2023-01-02 02:00:00+00:00,2024-11-29 22:00:00+00:00,-41.73597186066388,-42.464952848743906,-23.833876012613864,0.3834639062181652,5.956546435107899,0.0,6.3405556562579095,-24.653608016040472,20,2,ZAR=X
0,2023-01-02 02:00:00+00:00,2024-11-29 18:00:00+00:00,-27.077557862369986,-27.161365967838737,-14.71315536249187,0.0881667745692812,3.3365625271674757,0.0,2.252801182663652,-15.250929724475917,20,2,INR=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-64.87648534929389,-65.19092719713302,-40.98242297446338,0.2325448949967232,4.759442267479304,0.0,5.342134523177854,-42.206500551810954,20,2,GBPUSD=X
0,2023-01-02 02:00:00+00:00,2024-11-29 18:00:00+00:00,-75.18371369171251,-75.20051081848254,-50.46098778951582,0.0631509117677139,4.4533469258608855,0.0,5.003841412976232,-51.82486126071508,20,2,CNY=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-54.00543638019467,-54.15721019096471,-32.391067713011466,0.1284703081356571,4.462083234364741,0.0,-0.0984974337468648,-33.434750958512005,20,2,SGD=X
0,2023-01-02 01:00:00+00:00,2024-11-29 22:00:00+00:00,-33.10557920395745,-34.21180489214978,-18.34241935638551,0.452329813533426,5.567861066957829,0.0,4.667674374308057,-18.99743057204161,20,2,MXN=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-59.41246542511857,-59.541142831215986,-36.52102486404348,0.3249061766685452,5.787533144063565,0.0,14.382402135295614,-37.65732984773089,20,2,JPY=X
0,2023-01-02 05:00:00+00:00,2024-11-29 22:00:00+00:00,-74.98889183458132,-75.24990212063719,-50.26535768002882,0.2454010481044586,5.314643311879085,0.0,-6.3959739256549675,-51.62704031340177,20,2,NZDUSD=X
0,2023-01-02 06:00:00+00:00,2024-11-29 18:00:00+00:00,17.145779915917693,-8.472653140220432,8.302437373670045,1.5733620247912596,9.418622731135578,0.8814916586715267,47.099444413592,8.646298016796926,20,2,RUB=X
0,2023-01-02 00:00:00+00:00,2024-11-29 22:00:00+00:00,-54.81852143655049,-55.02129896055177,-32.996103160770396,0.2545969762422862,5.345278228616899,0.0,-4.692510446785076,-34.05401198639571,20,2,CHF=X
